[2026-03-09 11:19:26.645253] Starting Lab Monitor Server on http://0.0.0.0:5000
[2026-03-09 11:19:26.645305] Screenshots directory: /data/server/screenshots
 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.17.0.8:5000
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [09/Mar/2026 11:19:33] "GET / HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:00] "GET / HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:00] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:02] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:04] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:06] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:08] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:10] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:12] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:14] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:16] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:18] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:20] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:22] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:24] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:26] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:28] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:30] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:32] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:34] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:36] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:38] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:40] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:42] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:44] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:46] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:48] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:50] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:52] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:54] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:56] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:20:58] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:00] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:02] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:04] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:06] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:08] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:10] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:12] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:14] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:16] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:18] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:21:20] "GET /api/machines HTTP/1.1" 200 -
